Season,League,Pos,Player,Team
1885,NL,SP,John Clarkson,CHC
1885,NL,SP,Tim Keefe,NYG
1885,NL,SP,Guy Hecker,BSN
1885,NL,SP,Charlie Ferguson,PHI
1885,NL,SP,Dave Foutz,PHI
1885,NL,SP,Lady Baldwin,DTN
1885,NL,SP,Ed Daily,NYG
1885,NL,SP,Dupee Shaw,DTN
1885,NL,RP,Billy Taylor,BSN
1885,NL,RP,Hank O'Day,PIT
1885,NL,RP,John Kirby,BSN
1885,NL,RP,Bill Vinton,BSN
1885,NL,RP,Daisy Davis,CHC
1885,NL,RP,Dan Casey,DTN
1885,NL,C,Jim O'Rourke,BSN
1885,NL,C,King Kelly,CHC
1885,NL,1B,Dan Brouthers,BSN
1885,NL,1B,Cap Anson,CHC
1885,NL,2B,Hardy Richardson,DTN
1885,NL,2B,Pop Smith,BSN
1885,NL,3B,Ned Williamson,CHC
1885,NL,3B,Ezra Sutton,BSN
1885,NL,SS,John Ward,NYG
1885,NL,SS,Candy Nelson,PHI
1885,NL,LF,Pete Hotaling,BSN
1885,NL,LF,Jack Rowe,DTN
1885,NL,CF,Charley Jones,CHC
1885,NL,CF,Paul Hines,BSN
1885,NL,RF,Abner Dalrymple,CHC
1885,NL,RF,Ed Andrews,BSN
1885,AA,SP,Bob Caruthers,STL
1885,AA,SP,Henry Boyle,CIN
1885,AA,SP,Charley Radbourn,CIN
1885,AA,SP,Mickey Welch,LOU
1885,AA,SP,Bobby Mathews,PAT
1885,AA,SP,Henry Porter,BLN
1885,AA,SP,Charlie Getzien,STL
1885,AA,SP,Jim Whitney,PAT
1885,AA,RP,Toad Ramsey,STL
1885,AA,RP,Larry McKeon,BLN
1885,AA,RP,Stump Wiedman,CIN
1885,AA,RP,Frank Foreman,CIN
1885,AA,RP,John Healy,LOU
1885,AA,RP,Jumbo McGinnis,BRO
1885,AA,C,Buck Ewing,CIN
1885,AA,C,John Kerins,BLN
1885,AA,1B,Roger Connor,STL
1885,AA,1B,Bill Phillips,CIN
1885,AA,2B,Sam Barkley,STL
1885,AA,2B,Bid McPhee,CIN
1885,AA,3B,Hick Carpenter,BLN
1885,AA,3B,Arlie Latham,CIN
1885,AA,SS,Jack Glasscock,LOU
1885,AA,SS,Germany Smith,STL
1885,AA,LF,Ned Hanlon,BLN
1885,AA,LF,John Reilly,CIN
1885,AA,CF,Pete Browning,CIN
1885,AA,CF,George Gore,STL
1885,AA,RF,Chicken Wolf,STL
1885,AA,RF,Fred Mann,CIN
