Season,League,Award,Rank,Pos,Player,Team
1885,NL,MVP,1,1B,Cap Anson,CHC
1885,NL,MVP,2,1B,Dan Brouthers,BSN
1885,NL,MVP,3,OF,Abner Dalrymple,CHC
1885,NL,MVP,4,1B,Dave Orr,PHI
1885,NL,MVP,5,1B,Alex McKinnon,NYG
1885,AA,MVP,1,1B,Roger Connor,STL
1885,AA,MVP,2,OF,Pete Browning,CIN
1885,AA,MVP,3,OF,George Gore,STL
1885,AA,MVP,4,1B,Harry Stovey,PAT
1885,AA,MVP,5,OF,Ned Hanlon,BLN
1885,NL,Champion Hurler,1,P,John Clarkson,CHC
1885,NL,Champion Hurler,2,P,Tim Keefe,NYG
1885,NL,Champion Hurler,3,P,Charlie Ferguson,PHI
1885,NL,Champion Hurler,4,P,Dave Foutz,PHI
1885,NL,Champion Hurler,5,P,Guy Hecker,BSN
1885,AA,Champion Hurler,1,P,Bob Caruthers,STL
1885,AA,Champion Hurler,2,P,Henry Boyle,CIN
1885,AA,Champion Hurler,3,P,Charley Radbourn,CIN
1885,AA,Champion Hurler,4,P,Henry Porter,BLN
1885,AA,Champion Hurler,5,P,Mickey Welch,LOU
1885,NL,Fireman,1,P,Billy Taylor,BSN
1885,NL,Fireman,2,P,John Kirby,BSN
1885,AA,Fireman,1,P,Larry McKeon,BLN
1885,AA,Fireman,2,P,Frank Foreman,CIN
1885,AA,Fireman,3,P,Stump Wiedman,CIN
1885,NL,Silver Slugger,1,P,Charlie Ferguson,PHI
1885,NL,Silver Slugger,1,C,Jim O'Rourke,BSN
1885,NL,Silver Slugger,1,1B,Dan Brouthers,BSN
1885,NL,Silver Slugger,1,2B,Hardy Richardson,DTN
1885,NL,Silver Slugger,1,3B,Ezra Sutton,BSN
1885,NL,Silver Slugger,1,SS,Candy Nelson,PHI
1885,NL,Silver Slugger,1,LF,Pete Gillespie,NYG
1885,NL,Silver Slugger,1,CF,Charley Jones,CHC
1885,NL,Silver Slugger,1,RF,Abner Dalrymple,CHC
1885,AA,Silver Slugger,1,P,Bob Caruthers,STL
1885,AA,Silver Slugger,1,C,Buck Ewing,CIN
1885,AA,Silver Slugger,1,1B,Roger Connor,STL
1885,AA,Silver Slugger,1,2B,Bid McPhee,CIN
1885,AA,Silver Slugger,1,3B,Hick Carpenter,BLN
1885,AA,Silver Slugger,1,SS,Sam Wise,BLN
1885,AA,Silver Slugger,1,LF,Ned Hanlon,BLN
1885,AA,Silver Slugger,1,CF,George Gore,STL
1885,AA,Silver Slugger,1,RF,Chicken Wolf,STL
1885,NL,Gold Glove,1,P,John Clarkson,CHC
1885,NL,Gold Glove,1,C,Charlie Bennett,DTN
1885,NL,Gold Glove,1,1B,Cap Anson,CHC
1885,NL,Gold Glove,1,2B,Bill McClellan,CHC
1885,NL,Gold Glove,1,3B,Dude Esterbrook,NYG
1885,NL,Gold Glove,1,SS,Art Whitney,DTN
1885,NL,Gold Glove,1,LF,Pete Hotaling,BSN
1885,NL,Gold Glove,1,CF,Jim Fogarty,PHI
1885,NL,Gold Glove,1,RF,Ed Andrews,BSN
1885,AA,Gold Glove,1,P,Jim Whitney,PAT
1885,AA,Gold Glove,1,C,John Kerins,BLN
1885,AA,Gold Glove,1,1B,Bill Phillips,CIN
1885,AA,Gold Glove,1,2B,Sam Barkley,STL
1885,AA,Gold Glove,1,3B,Charley Bassett,BRO
1885,AA,Gold Glove,1,SS,Germany Smith,STL
1885,AA,Gold Glove,1,LF,Ned Hanlon,BLN
1885,AA,Gold Glove,1,CF,Curt Welch,BLN
1885,AA,Gold Glove,1,RF,Hugh Nicol,BLN
