Season,Round,Pick,TeamAbbr,Player,Pos
1885,1,1,BSN,Dan Brouthers,1B
1885,1,2,NYG,Tim Keefe,P
1885,1,3,CIN,Pete Browning,OF
1885,1,4,STL,Bob Caruthers,P
1885,1,5,STL,Roger Connor,1B
1885,1,6,PHI,Sam Thompson,OF
1885,1,7,CHC,Cap Anson,1B
1885,1,8,CIN,Bid McPhee,2B
1885,1,9,PAT,Harry Stovey,1B
1885,1,10,BLN,Curt Welch,OF
1885,1,11,DTN,Hardy Richardson,2B
1885,1,12,LOU,Jack Glasscock,SS
1885,2,1,LOU,Mickey Welch,P
1885,2,2,DTN,Ed Morris,P
1885,2,3,BLN,Adonis Terry,OF
1885,2,4,PAT,Jim Whitney,P
1885,2,5,NYG,Tip O'Neill,OF
1885,2,6,CHC,King Kelly,OF
1885,2,7,BSN,Jack Clements,C
1885,2,8,CIN,Henry Boyle,P
1885,2,9,STL,Charlie Getzien,P
1885,2,10,PHI,Charlie Ferguson,P
1885,2,11,PIT,Guy Hecker,P
1885,2,12,PIT,Pud Galvin,P
1885,3,1,BSN,Billy Nash,3B
1885,3,2,PHI,Charlie Buffinton,P
1885,3,3,PIT,Doggie Miller,C
1885,3,4,STL,George Gore,OF
1885,3,5,STL,Toad Ramsey,P
1885,3,6,PHI,Tommy McCarthy,OF
1885,3,7,BSN,Jim O'Rourke,OF
1885,3,8,CIN,Arlie Latham,3B
1885,3,9,PAT,Henry Larkin,OF
1885,3,10,BLN,Henry Porter,P
1885,3,11,DTN,Lady Baldwin,P
1885,3,12,LOU,Tom Brown,OF
1885,4,1,LOU,Jerry Denny,3B
1885,4,2,DTN,Jack Rowe,SS
1885,4,3,BLN,Sam Wise,SS
1885,4,4,PAT,Bobby Mathews,P
1885,4,5,NYG,Oyster Burns,OF
1885,4,6,CHC,Tom Burns,SS
1885,4,7,PIT,Pop Corkhill,OF
1885,4,8,BRO,Tom Lovett,P
1885,4,9,BRO,Dave Orr,1B
1885,4,10,BSN,Paul Hines,OF
1885,4,11,PIT,Pete Conway,P
1885,4,12,PIT,Deacon White,3B
1885,5,1,PIT,Hank O'Day,P
1885,5,2,NYG,John Ward,SS
1885,5,3,BSN,Charlie Sweeney,OF
1885,5,4,STL,Germany Smith,SS
1885,5,5,BRO,George Pinkney,2B
1885,5,6,PHI,Jim Fogarty,OF
1885,5,7,CHC,Charley Jones,OF
1885,5,8,CIN,John Reilly,1B
1885,5,9,PAT,Blondie Purcell,OF
1885,5,10,BLN,Cub Stricker,2B
1885,5,11,DTN,Dupee Shaw,P
1885,5,12,LOU,Fred Pfeffer,2B
1885,6,1,LOU,Ed Cushman,P
1885,6,2,DTN,George Wood,OF
1885,6,3,BLN,John Kerins,1B
1885,6,4,PAT,Frank Fennelly,SS
1885,6,5,NYG,Jocko Milligan,C
1885,6,6,BSN,Pop Smith,2B
1885,6,7,PIT,Fred Dunlap,2B
1885,6,8,BRO,Jim McTamany,OF
1885,6,9,STL,Charlie Comiskey,1B
1885,6,10,BSN,John Kirby,P
1885,6,11,CIN,Frank Foreman,P
1885,6,12,PIT,Fred Carroll,C
1885,7,1,PIT,Jim McCormick,P
1885,7,2,CIN,Joe Quinn,OF
1885,7,3,CHC,Jack Lynch,P
1885,7,4,STL,Yank Robinson,OF
1885,7,5,BRO,Al Mays,P
1885,7,6,PHI,Deacon McGuire,C
1885,7,7,CHC,Abner Dalrymple,OF
1885,7,8,NYG,Ed Daily,P
1885,7,9,PAT,Jack O'Brien,C
1885,7,10,BLN,Ned Hanlon,OF
1885,7,11,DTN,Charlie Bennett,C
1885,7,12,LOU,Steve Brady,OF
1885,8,1,LOU,John Healy,P
1885,8,2,DTN,Dan Casey,P
1885,8,3,BLN,Hardie Henderson,P
1885,8,4,PAT,John Coleman,OF
1885,8,5,NYG,Alex McKinnon,1B
1885,8,6,CHC,Ned Williamson,3B
1885,8,7,PHI,Joe Mulvey,3B
1885,8,8,BRO,Paul Radford,OF
1885,8,9,STL,Sam Barkley,2B
1885,8,10,BSN,Ed Andrews,OF
1885,8,11,CIN,Joe Sommer,OF
1885,8,12,PIT,Sid Farrar,1B
1885,9,1,PIT,Emmett Seery,OF
1885,9,2,CIN,Bill Phillips,1B
1885,9,3,BSN,Ezra Sutton,3B
1885,9,4,STL,Chicken Wolf,OF
1885,9,5,BRO,Ed Swartwood,OF
1885,9,6,PHI,John Morrill,1B
1885,9,7,CHC,Bill McClellan,3B
1885,9,8,NYG,Mike Dorgan,OF
1885,9,9,PAT,Al Myers,2B
1885,9,10,BLN,Dick Johnston,OF
1885,9,11,DTN,Mox McQuery,1B
1885,9,12,LOU,Amos Cross,C
1885,10,1,LOU,Chief Roseman,OF
1885,10,2,DTN,Art Whitney,3B
1885,10,3,BLN,Larry McKeon,P
1885,10,4,PAT,Fred Corey,3B
1885,10,5,NYG,Pete Gillespie,OF
1885,10,6,CHC,John Clarkson,P
1885,10,7,PHI,Arthur Irwin,SS
1885,10,8,BRO,Dave Foutz,P
1885,10,9,CIN,Buck Ewing,C
1885,10,10,BSN,Pete Hotaling,OF
1885,10,11,CIN,Charley Radbourn,P
1885,10,12,PIT,Bill Kuehne,3B
1885,11,1,PIT,Danny Richardson,OF
1885,11,2,BRO,Charlie Bassett,2B
1885,11,3,PIT,John Harkins,P
1885,11,4,CIN,Stump Wiedman,P
1885,11,5,BRO,Jumbo McGinnis,P
1885,11,6,PIT,Sy Sutcliffe,C
1885,11,7,CHC,Will White,P
1885,11,8,NYG,Thomas Esterbrook,3B
1885,11,9,PAT,Charlie Reipschlager,C
1885,11,10,BLN,Hick Carpenter,3B
1885,11,11,DTN,Phil Reccius,3B
1885,11,12,LOU,Con Daily,C
1885,12,1,LOU,Pete Meegan,P
1885,12,2,DTN,Cliff Carroll,OF
1885,12,3,BLN,Joe Start,1B
1885,12,4,PAT,Norm Baker,P
1885,12,5,NYG,Pat Deasley,C
1885,12,6,CHC,Fred Lewis,OF
1885,12,7,PHI,Candy Nelson,SS
1885,12,8,BRO,Bill Gleason,SS
1885,12,9,STL,Doc Bushong,C
1885,12,10,BSN,John Henry,P
1885,12,11,CIN,Fred Mann,OF
1885,12,12,PIT,Ed Knouff,P
1885,13,1,PIT,Billy Serad,P
1885,13,2,CIN,Ed Crane,OF
1885,13,3,BSN,Bill Vinton,P
