Player,Team,Lg,SN,Pos,GP,GS,Inn,E,PO,A,DP,GoodPlays,PoorPlays,FPct,RF,SB,CS,CS%,CERA,PB,PK
"McPhee, Bid",CIN,AA,1885,2B,162,162,1441,56,536,468,39,8,0,0.947,6.27,0,0,0,0,0,0
"Latham, Arlie",CIN,AA,1885,3B,161,161,1416.3,65,212,526,12,13,1,0.919,4.69,0,0,0,0,0,0
"Mann, Fred",CIN,AA,1885,RF,160,160,1373,27,243,1,0,3,0,0.9,1.6,0,0,0,0,0,0
"Phillips, Bill",CIN,AA,1885,1B,150,148,1325.7,10,1614,118,44,22,0,0.994,11.76,0,0,0,0,0,0
"Reilly, John",CIN,AA,1885,LF,151,151,1310.3,47,347,2,0,0,6,0.881,2.4,0,0,0,0,0,0
"Browning, Pete",CIN,AA,1885,CF,152,152,1310.3,38,408,1,0,6,2,0.915,2.81,0,0,0,0,0,0
"Sommer, Joe",CIN,AA,1885,SS,152,152,1297.7,156,320,430,30,2,24,0.828,5.2,0,0,0,0,0,0
"Ewing, Buck",CIN,AA,1885,C,126,126,1125.7,31,234,218,3,0,0,0.936,3.61,0,0,0,0,0,0
"Radbourn, Charley",CIN,AA,1885,P,81,0,651.3,9,35,51,1,4,0,0.905,1.19,230,116,33.53,0,0,0
"Boyle, Henry",CIN,AA,1885,P,80,0,634.3,9,33,49,1,2,0,0.901,1.16,246,119,32.6,0,0,1
"Baldwin, Kid",CIN,AA,1885,C,35,35,315.3,13,64,69,0,0,0,0.911,3.8,181,61,25.21,3.85,0,0
"Bastian, Charlie",CIN,AA,1885,SS,64,10,142.3,8,31,55,5,3,0,0.915,5.44,0,0,0,0,0,0
"Sommer, Joe",CIN,AA,1885,CF,55,10,134.7,2,44,0,0,1,0,0.957,2.94,0,0,0,0,0,0
"Wiedman, Stump",CIN,AA,1885,P,48,0,111,3,4,9,1,0,1,0.813,1.05,36,17,32.08,0,0,0
"Browning, Pete",CIN,AA,1885,LF,10,10,90.7,3,23,0,0,1,0,0.885,2.28,0,0,0,0,0,0
"Reilly, John",CIN,AA,1885,1B,11,10,89.7,1,111,8,4,0,0,0.992,11.94,0,0,0,0,0,0
"Foreman, Frank",CIN,AA,1885,P,32,0,46.3,0,1,6,0,0,1,1,1.36,16,6,27.27,0,0,0
"Clinton, Jim",CIN,AA,1885,LF,40,0,40,1,12,1,0,2,0,0.929,2.93,0,0,0,0,0,0
"Quinn, Joe",CIN,AA,1885,1B,4,4,33.7,0,47,0,3,0,1,1,12.56,0,0,0,0,0,0
"Donnelly, Jim",CIN,AA,1885,3B,8,1,20,1,4,5,0,1,0,0.9,4.05,0,0,0,0,0,0
"Crane, Ed",CIN,AA,1885,RF,3,2,18,0,4,0,0,0,0,1,2,0,0,0,0,0,0
"Clinton, Jim",CIN,AA,1885,RF,9,0,12,0,3,0,0,1,0,1,2.25,0,0,0,0,0,0
"Quinn, Joe",CIN,AA,1885,3B,9,0,10.3,0,1,3,0,0,0,1,3.48,0,0,0,0,0,0
"Force, Davy",CIN,AA,1885,2B,6,0,8,0,3,4,0,0,0,1,7.88,0,0,0,0,0,0
"Latham, Arlie",CIN,AA,1885,C,1,1,8,1,2,0,0,0,0,0.667,2.25,0,0,0,3.38,0,0
"Crane, Ed",CIN,AA,1885,CF,1,0,4,0,2,0,0,0,0,1,4.5,0,0,0,0,0,0
"Collins, Chub",CIN,AA,1885,SS,1,0,1,0,0,1,0,0,1,1,9,0,0,0,0,0,0
"Gleason, Bill",BRO,AA,1885,SS,162,162,"1,377.30",154,374,490,30,1,21,0.849,5.65,0,0,0,0,0,0
"Maskrey, Leech",BRO,AA,1885,CF,162,162,"1,354.00",42,384,1,0,0,27,0.902,2.56,0,0,0,0,0,0
