Player,Team,SN,B,G,AB,R,H,2B,3B,HR,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS
"Wolf, Chicken",STL,1885,R,6,30,3,11,1,0,0,5,0,0,0,7,1,.367,.367,.400,.767
"Smith, Germany",STL,1885,R,6,28,8,7,1,0,0,5,0,0,1,9,0,.250,.276,.286,.562
"Connor, Roger",STL,1885,S,6,27,4,7,0,0,0,3,1,0,1,6,0,.259,.300,.259,.559
"Barkley, Sam",STL,1885,R,6,26,4,10,1,0,0,4,2,0,0,10,1,.385,.429,.423,.852
"Gore, George",STL,1885,L,6,25,7,10,1,0,0,4,5,1,0,7,1,.400,.500,.440,.940
"Muldoon, Mike",STL,1885,R,6,24,4,9,4,0,0,7,1,1,0,5,0,.375,.400,.542,.942
"Robinson, Yank",STL,1885,R,4,19,4,6,2,0,0,0,0,0,1,3,0,.316,.350,.421,.771
"Peoples, Jimmy",STL,1885,R,5,16,2,5,1,0,1,2,0,1,0,1,0,.313,.313,.563,.875
"Bushong, Doc",STL,1885,R,6,12,1,2,0,0,0,4,2,0,0,2,0,.167,.267,.167,.433
"Caruthers, Bob",STL,1885,L,3,11,1,4,0,0,0,4,0,0,0,0,0,.364,.364,.364,.727
"Gilligan, Barney",STL,1885,R,4,9,3,5,0,1,0,1,2,1,0,1,1,.556,.636,.778,1.414
"Ramsey, Toad",STL,1885,R,3,5,1,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
"Comiskey, Charlie",STL,1885,R,3,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Getzien, Charlie",STL,1885,R,3,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
"Miller, Joe",STL,1885,R,2,1,1,1,0,0,0,2,0,0,0,0,0,1.000,1.000,1.000,2.000
"Quest, Joe",STL,1885,R,2,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Farrell, Jack",STL,1885,R,2,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Mountain, Frank",STL,1885,R,3,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Brown, Joe",STL,1885,R,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"O'Rourke, Jim",BSN,1885,R,6,27,5,6,1,0,0,1,0,1,0,3,0,.222,.222,.259,.481
"Smith, Pop",BSN,1885,R,6,25,3,6,1,1,0,6,0,0,0,2,0,.240,.240,.360,.600
"Hines, Paul",BSN,1885,R,6,25,3,8,0,0,0,5,1,2,0,4,1,.320,.346,.320,.666
"Brouthers, Dan",BSN,1885,L,6,24,5,7,2,0,0,3,3,1,0,4,0,.292,.370,.375,.745
"Andrews, Ed",BSN,1885,R,6,23,5,7,1,0,0,4,1,0,0,2,0,.304,.333,.348,.681
"Houck, Sadie",BSN,1885,R,6,21,3,6,1,0,0,2,0,2,0,2,1,.286,.286,.333,.619
"Hotaling, Pete",BSN,1885,L,6,18,2,4,1,0,0,3,1,0,1,0,1,.222,.286,.278,.563
"Sutton, Ezra",BSN,1885,R,5,11,2,0,0,0,0,0,0,0,2,0,0,.000,.154,.000,.154
"Hecker, Guy",BSN,1885,R,3,7,0,2,0,0,0,1,0,0,0,0,0,.286,.250,.286,.536
"Poorman, Tom",BSN,1885,L,4,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"York, Tom",BSN,1885,L,3,3,2,2,0,0,1,1,0,0,0,0,0,.667,.667,1.667,2.333
"Burdock, Jack",BSN,1885,R,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Nash, Billy",BSN,1885,R,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Sweeney, Charlie",BSN,1885,R,3,1,3,0,0,0,0,0,4,1,0,0,0,.000,.800,.000,.800
"Kirby, John",BSN,1885,R,3,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Henry, John",BSN,1885,L,3,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Vinton, Bill",BSN,1885,R,3,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Taylor, Billy",BSN,1885,R,3,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
"Geer, Billy",BSN,1885,R,2,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
