Player,Team,SN,T,G,GS,CG,SHO,W,L,SV,SVO,IP,H,R,ER,HR,BB,SO,OAV,OBP,SLG,WHIP,ERA
"Caruthers, Bob",STL,1885,R,3,3,2,1,2,1,0,0,25.0,22,11,6,0,2,3,.222,.233,.273,.96,2.16
"Ramsey, Toad",STL,1885,L,3,2,0,0,0,0,0,0,13.3,8,8,3,0,5,6,.157,.246,.157,.98,2.03
"Getzien, Charlie",STL,1885,R,3,1,0,0,0,0,0,1,5.3,14,9,5,0,1,1,.452,.469,.548,2.81,8.44
"Mountain, Frank",STL,1885,R,3,0,0,0,1,1,0,1,4.3,7,3,3,0,1,0,.350,.409,.450,1.85,6.23
"Brown, Joe",STL,1885,R,1,0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,.000,.000,.000,.00,.00
"Hecker, Guy",BSN,1885,R,3,3,0,0,1,2,0,0,21.3,25,16,14,0,1,0,.272,.287,.315,1.22,5.91
"Sweeney, Charlie",BSN,1885,R,3,3,0,0,0,0,0,0,16.0,31,18,16,0,4,3,.403,.427,.468,2.19,9.00
"Kirby, John",BSN,1885,R,3,0,0,0,0,0,0,0,5.7,4,1,0,0,3,2,.182,.280,.227,1.24,.00
"Henry, John",BSN,1885,L,3,0,0,0,0,0,1,1,4.3,5,2,2,0,1,0,.263,.300,.421,1.38,4.15
"Vinton, Bill",BSN,1885,R,3,0,0,0,1,0,0,0,2.3,5,2,2,0,2,0,.455,.533,.455,3.00,7.71
"Taylor, Billy",BSN,1885,R,3,0,0,0,0,1,0,0,2.0,5,3,2,0,2,1,.417,.500,.417,3.50,9.00
