Player,Team,Lg,SN,B,G,AB,R,H,2B,3B,HR,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,STRK,L STRK,WAR
"Rowe, Jack",CLV,NL,1886,L,15,71,8,15,4,1,2,11,3,4,0,0,0,.211,.243,.380,.624,2,8,0.09
"Wood, George",CLV,NL,1886,L,16,71,5,14,2,0,0,6,5,15,0,0,0,.197,.247,.225,.472,1,3,-0.36
"Manning, Jack",CLV,NL,1886,R,16,65,7,14,1,0,0,2,3,3,1,0,0,.215,.261,.231,.492,1,5,-0.3
"Richardson, Hardy",CLV,NL,1886,R,16,65,13,22,5,0,2,9,7,2,0,0,0,.338,.403,.508,.910,0,11,0.71
"McQuery, Mox",CLV,NL,1886,R,16,64,4,13,2,0,1,8,8,11,0,0,0,.203,.288,.281,.569,2,3,-0.02
"Whitney, Art",CLV,NL,1886,R,16,63,8,15,2,1,0,7,3,4,0,1,0,.238,.269,.302,.570,3,3,0.0
"Carroll, Cliff",CLV,NL,1886,S,16,60,7,12,0,0,0,10,6,5,0,0,0,.200,.273,.200,.473,0,3,-0.29
"Bennett, Charlie",CLV,NL,1886,R,12,30,5,8,2,0,1,4,9,3,0,1,0,.267,.425,.433,.858,1,4,0.44
"Briody, Fatty",CLV,NL,1886,R,9,30,4,8,1,0,0,1,1,1,1,0,0,.267,.313,.300,.613,2,2,0.06
"Morris, Ed",CLV,NL,1886,S,8,22,4,5,1,0,0,2,2,1,1,0,0,.227,.320,.273,.593,1,2,0.07
"Baldwin, Lady",CLV,NL,1886,L,8,21,2,5,1,0,0,1,3,2,0,0,0,.238,.333,.286,.619,0,2,0.08
"McGarr, Chippy",CLV,NL,1886,R,2,7,1,5,0,0,0,1,0,0,0,1,0,.714,.714,.714,1.429,1,1,0.21
"Shaw, Dupee",CLV,NL,1886,L,5,3,0,1,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0,1,0.01
"Casey, Dan",CLV,NL,1886,R,5,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,-0.04
"Macullar, Jimmy",CLV,NL,1886,R,2,2,0,1,0,0,0,0,0,0,0,1,0,.500,.500,.500,1.000,1,1,0.05
"Lillie, Jim",CLV,NL,1886,R,2,1,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1,0.04
"Gilmore, Frank",CLV,NL,1886,R,2,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0.0
"McLaughlin, Tom",CLV,NL,1886,R,2,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0.0
"Welch, Curt",BLN,AA,1886,R,16,77,16,25,4,2,2,11,6,0,0,18,6,.325,.373,.506,.880,6,6,0.66
"Hanlon, Ned",BLN,AA,1886,L,16,66,9,17,3,1,1,11,8,5,0,14,2,.258,.338,.379,.717,1,5,0.37
"Johnston, Dick",BLN,AA,1886,R,15,64,11,21,4,3,1,10,1,6,1,2,1,.328,.343,.531,.875,4,8,0.35
"Kerins, John",BLN,AA,1886,R,16,64,14,21,4,0,4,12,13,3,0,7,5,.328,.442,.578,1.020,5,5,0.88
"Mack, Reddy",BLN,AA,1886,R,15,63,13,14,4,2,1,10,12,6,0,2,1,.222,.347,.397,.743,4,4,0.29
"Carpenter, Hick",BLN,AA,1886,R,14,63,7,13,1,0,0,8,1,3,0,1,2,.206,.219,.222,.441,0,4,-0.46
"Houck, Sadie",BLN,AA,1886,R,16,62,8,13,1,0,2,5,0,2,1,2,1,.210,.219,.323,.541,1,3,-0.15
"Wise, Sam",BLN,AA,1886,L,14,60,12,17,3,2,2,13,6,10,0,9,4,.283,.343,.500,.843,3,6,0.4
"Mullane, Tony",BLN,AA,1886,S,8,26,3,8,0,0,0,2,1,1,0,1,0,.308,.333,.308,.641,0,2,0.22
"Porter, Henry",BLN,AA,1886,R,8,24,4,2,0,0,0,0,0,0,0,0,0,.083,.083,.083,.167,0,2,-0.2
"Scott, Milt",BLN,AA,1886,R,9,15,3,6,2,0,0,3,0,2,0,0,1,.400,.400,.533,.933,3,3,0.08
"Myers, George",BLN,AA,1886,R,4,6,1,1,0,0,0,0,2,0,0,0,1,.167,.375,.167,.542,1,1,-0.05
"Gerhardt, Joe",BLN,AA,1886,R,1,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,-0.1
"Farrell, Jack",BLN,AA,1886,R,6,5,2,2,0,1,0,1,0,0,0,0,0,.400,.400,.800,1.200,1,1,0.07
"Terry, Adonis",BLN,AA,1886,R,6,3,1,2,0,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,0,2,0.09
"McKeon, Larry",BLN,AA,1886,R,11,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,0,0,-0.01
"Corcoran, Larry",BLN,AA,1886,L,2,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,-0.02
"Nicol, Hugh",BLN,AA,1886,R,2,1,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1,0.04
"Henderson, Hardie",BLN,AA,1886,R,7,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0.0
"Brouthers, Dan",BSN,NL,1886,L,16,68,14,29,3,3,1,11,9,0,0,6,4,.426,.494,.603,1.096,3,5,1.08
"O'Rourke, Jim",BSN,NL,1886,R,16,66,12,19,9,0,0,12,8,2,0,0,2,.288,.355,.424,.780,5,6,0.32
"Nash, Billy",BSN,NL,1886,R,16,64,8,19,3,2,0,14,4,4,0,1,4,.297,.333,.406,.740,3,4,0.14
"Andrews, Ed",BSN,NL,1886,R,16,63,6,10,2,1,0,4,3,5,0,7,0,.159,.197,.222,.419,1,4,-0.27
"Hines, Paul",BSN,NL,1886,R,16,62,14,22,2,2,1,8,11,5,1,2,3,.355,.459,.500,.959,3,5,0.64
"Smith, Pop",BSN,NL,1886,R,16,54,6,13,4,0,0,3,4,5,1,5,4,.241,.305,.315,.620,1,3,0.07
"Baldwin, Kid",BSN,NL,1886,R,10,31,3,10,0,0,0,8,1,2,0,1,1,.323,.324,.323,.646,0,7,0.08
"Poorman, Tom",BSN,NL,1886,L,13,30,7,2,2,0,0,4,3,5,0,2,0,.067,.147,.133,.280,0,1,-0.27
"Force, Davy",BSN,NL,1886,R,11,27,3,6,0,0,0,3,3,1,0,5,1,.222,.300,.222,.522,0,1,0.05
"Meister, John",BSN,NL,1886,R,8,24,4,11,2,1,0,5,0,0,0,1,0,.458,.440,.625,1.065,8,8,0.38
"Hecker, Guy",BSN,NL,1886,R,8,22,0,11,2,0,0,5,4,0,0,0,1,.500,.577,.591,1.168,5,5,0.46
"Stemmeyer, Bill",BSN,NL,1886,R,8,16,3,9,0,0,0,3,0,0,0,0,0,.563,.563,.563,1.125,7,7,0.29
"Foster, Elmer",BSN,NL,1886,R,6,14,1,3,0,0,0,1,0,0,0,1,1,.214,.214,.214,.429,3,3,-0.1
"Sowders, Len",BSN,NL,1886,R,9,12,3,4,1,0,0,0,1,0,0,1,0,.333,.385,.417,.801,0,2,0.1
"Hoover, Buster",BSN,NL,1886,R,10,5,2,3,1,0,1,2,2,1,0,0,0,.600,.714,1.400,2.114,0,2,0.27
"Kirby, John",BSN,NL,1886,R,14,4,2,2,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,1,0.06
"Sweeney, Charlie",BSN,NL,1886,R,5,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,-0.04
"Henry, John",BSN,NL,1886,L,3,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0.0
"Taylor, Billy",BSN,NL,1886,R,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0.0
"Keefe, George",BSN,NL,1886,L,5,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0.0
"Gleason, Bill",BRO,AA,1886,R,15,68,5,19,1,0,1,8,1,2,0,2,4,.279,.286,.338,.624,2,5,-0.13
"Pinkney, George",BRO,AA,1886,R,16,65,8,16,0,1,0,3,4,5,1,4,3,.246,.300,.277,.577,0,5,-0.14
"Swartwood, Ed",BRO,AA,1886,L,16,57,12,19,0,0,1,8,11,3,0,7,3,.333,.429,.386,.815,1,7,0.53
"Knowles, Jimmy",BRO,AA,1886,R,16,54,4,10,1,2,0,8,3,8,0,1,3,.185,.228,.278,.506,0,3,-0.37
"Radford, Paul",BRO,AA,1886,R,16,51,7,14,1,0,0,3,8,1,0,6,6,.275,.373,.294,.667,0,9,-0.12
"McTamany, Jim",BRO,AA,1886,R,14,50,5,11,3,0,0,4,10,3,0,2,0,.220,.350,.280,.630,2,3,0.04
"Cook, Paul",BRO,AA,1886,R,10,35,2,8,0,0,0,3,0,1,0,0,1,.229,.229,.229,.457,0,3,-0.27
"Forster, Tom",BRO,AA,1886,R,11,30,0,7,1,0,0,4,2,1,1,1,2,.233,.303,.267,.570,2,2,-0.19
"Keenan, Jim",BRO,AA,1886,R,9,19,6,7,0,0,1,2,2,0,1,0,0,.368,.455,.526,.981,2,2,0.21
"Start, Joe",BRO,AA,1886,L,11,19,0,5,0,0,0,0,0,3,0,0,0,.263,.263,.263,.526,3,3,-0.08
"McGinnis, Jumbo",BRO,AA,1886,R,7,19,2,6,3,0,0,5,0,1,0,0,0,.316,.316,.474,.789,4,4,0.22
"Bassett, Charley",BRO,AA,1886,R,16,16,0,3,1,0,0,2,3,1,0,0,0,.188,.316,.250,.566,1,1,-0.02
"Mays, Al",BRO,AA,1886,R,8,14,1,1,0,0,0,0,0,0,0,0,0,.071,.071,.071,.143,0,1,-0.13
"Clark, Bob",BRO,AA,1886,R,7,12,3,2,0,0,0,1,3,0,0,1,1,.167,.333,.167,.500,1,1,-0.04
"Pechiney, George",BRO,AA,1886,R,12,10,1,2,0,0,0,1,0,2,0,0,0,.200,.200,.200,.400,0,2,-0.01
"Shoch, George",BRO,AA,1886,R,2,3,0,2,0,0,0,1,0,0,0,0,0,.667,.667,.667,1.333,2,2,0.06
"Traffley, Bill",BRO,AA,1886,R,5,3,0,1,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,1,0.0
"Collins, Hub",BRO,AA,1886,R,5,3,2,1,0,0,0,0,1,0,0,0,1,.333,.500,.333,.833,0,1,-0.02
"Ely, Bones",BRO,AA,1886,R,7,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,-0.01
"Smith, Phenomenal",BRO,AA,1886,L,6,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,0,0,-0.01
"Anson, Cap",CHC,NL,1886,R,16,66,13,29,1,4,0,18,6,2,2,3,4,.439,.487,.576,1.063,2,5,0.91
"Burns, Tom",CHC,NL,1886,R,14,63,10,17,3,0,0,9,2,3,0,0,0,.270,.292,.317,.610,1,6,0.04
"Kelly, King",CHC,NL,1886,R,16,63,20,29,3,0,1,13,13,5,1,8,6,.460,.558,.556,1.114,7,7,1.21
"McClellan, Bill",CHC,NL,1886,L,16,60,6,16,4,1,0,10,6,4,0,2,3,.267,.333,.367,.700,7,7,0.13
"Jones, Charley",CHC,NL,1886,R,15,56,16,20,2,0,0,10,6,4,1,0,0,.357,.409,.393,.802,2,8,0.4
"Williamson, Ned",CHC,NL,1886,R,16,55,10,14,1,0,0,6,10,6,0,2,1,.255,.364,.273,.636,1,4,0.26
"Ryan, Jimmy",CHC,NL,1886,R,13,45,7,15,3,0,0,6,2,2,0,1,3,.333,.354,.400,.754,3,4,0.06
"Lewis, Fred",CHC,NL,1886,S,12,43,14,18,1,0,2,9,1,3,0,1,0,.419,.413,.581,.994,5,5,0.53
"Clarkson, John",CHC,NL,1886,R,8,29,3,7,0,0,1,3,0,3,0,0,0,.241,.241,.345,.586,0,4,0.02
"Hornung, Joe",CHC,NL,1886,R,15,21,3,6,1,0,0,5,1,2,0,1,0,.286,.318,.333,.652,0,4,0.03
"Dalrymple, Abner",CHC,NL,1886,L,16,17,4,3,0,0,0,3,2,1,0,0,1,.176,.263,.176,.440,1,1,-0.15
"Flynn, Jocko",CHC,NL,1886,R,5,14,1,1,0,0,0,1,0,2,0,0,0,.071,.067,.071,.138,0,1,-0.18
