Season,Round,Pick,TeamAbbr,Via,Player,Pos
1886,1,1,PIT,,Silver King,P
1886,1,2,PAT,BRO,Denny Lyons,3B
1886,1,3,PIT,PAT,Elmer Smith,P
1886,1,4,BLN,,Tony Mullane,P
1886,1,5,LOU,,Matt Kilroy,P
1886,1,6,CIN,NYG,Elton Chamberlain,P
1886,1,7,CLV,,Chippy McGarr,SS
1886,1,8,CHC,,Jimmy Ryan,OF
1886,1,9,PIT,PHI,Lou Bierbauer,2B
1886,1,10,BRO,"BSN, PHI",Hub Collins,OF
1886,1,11,NYG,CIN,Bob Barr,P
1886,1,12,BRO,STL,Phenomenal Smith,P
1886,2,1,BSN,"PIT, STL",Bill Stemmeyer,P
1886,2,2,BRO,,George Shoch,OF
1886,2,3,PAT,,Bill Hart,P
1886,2,4,BLN,,Reddy Mack,2B
1886,2,5,LOU,,Bill White,SS
1886,2,6,NYG,"NYG, CIN",John Shaffer,P
1886,2,7,CLV,,Frank Gilmore,P
1886,2,8,CHC,,Jocko Flynn,P
1886,2,9,PHI,,Cannonball Titcomb,P
1886,2,10,BSN,,George Keefe,P
1886,2,11,STL,CIN,Nat Hudson,P
1886,2,12,PIT,STL,Otto Schomberg,1B
1886,3,1,PHI,PIT,Jim Handiboe,P
1886,3,2,BRO,,Bones Ely,P
1886,3,3,PAT,,Cyclone Miller,P
1886,3,4,BLN,,Milt Scott,1B
1886,3,5,LOU,,Joe Werrick,3B
1886,3,6,NYG,,Steve Toole,P
1886,3,7,CLV,,Larry Twitchell,OF
1886,3,8,CHC,,Bill Smith,P
1886,3,9,PHI,,Chris Fulmer,C
1886,3,10,BSN,,Kid Baldwin,C
1886,3,11,PHI,"CIN, PIT",Al Atkinson,P
1886,3,12,STL,,Wilbert Robinson,C
1886,4,1,PIT,,Jumbo Davis,3B
1886,4,2,BRO,,Jimmy Knowles,2B
1886,4,3,PAT,,Phil Baker,1B
1886,4,4,BLN,,Jack Farrell,2B
1886,4,5,LOU,,Dick Conway,P
1886,4,6,NYG,,Harry Decker,C
1886,4,7,CHC,,Jim Donahue,OF
1886,4,8,CIN,PHI,Ernie Burch,OF
1886,4,9,BSN,,Elmer Foster,2B
1886,4,10,CIN,,Jack McGeachy,OF
1886,4,11,STL,,Tom Sullivan,P
1886,5,1,PIT,,Tony Madigan,P
1886,5,2,BRO,,Paul Cook,1B
1886,5,3,PAT,,Jack Gleason,3B
1886,5,4,BLN,,Sadie Houck,SS
1886,5,5,LOU,,Joe Strauss,OF
1886,5,6,NYG,,Pop Tate,C
1886,5,7,PHI,,John Cahill,OF
1886,5,8,BSN,,John Meister,2B
1886,5,9,STL,,Frank Mountain,1B
1886,6,1,PIT,,Joe Murphy,P
1886,6,2,BRO,,Joe Start,1B
1886,6,3,PAT,,Buck Gladman,3B
1886,6,4,LOU,,Joe Quest,SS
1886,6,5,NYG,,Jack Burdock,2B
1886,6,6,PHI,,Ed Greer,OF
1886,6,7,BSN,,Len Sowders,OF
1886,7,1,BRO,,Bob Clark,C
1886,7,2,PAT,,Lou Hardle,C
1886,7,3,LOU,,Barney Gilligan,C
1886,7,4,PHI,,Lou Sylvester,OF
1886,7,5,BSN,,Davy Force,SS
1886,8,1,BRO,,Abner Powell,OF
1886,8,2,LOU,,Ed Glenn,OF
1886,8,3,BSN,,Buster Hoover,OF
