Player,Team,Lg,SN,Pos,GP,GS,Inn,E,PO,A,DP,GoodPlays,PoorPlays,FPct,RF,SB,CS,CERA,PB,PK
"Whitney, Art",CLV,NL,1886,3B,21,21,185.0,6,20,74,2,1,0,.940,4.57,0,0,0,0,0
"Manning, Jack",CLV,NL,1886,RF,21,21,183.0,7,28,0,0,0,1,.800,1.38,0,0,0,0,0
"Carroll, Cliff",CLV,NL,1886,CF,21,21,183.0,10,58,0,0,0,1,.853,2.85,0,0,0,0,0
"McQuery, Mox",CLV,NL,1886,1B,21,21,183.0,5,213,18,14,0,1,.979,11.36,0,0,0,0,0
"Richardson, Hardy",CLV,NL,1886,2B,21,21,183.0,1,69,50,9,0,4,.992,5.85,0,0,0,0,0
"Wood, George",CLV,NL,1886,LF,21,21,183.0,6,57,0,0,3,0,.905,2.80,0,0,0,0,0
"Rowe, Jack",CLV,NL,1886,SS,15,15,131.0,10,30,53,8,0,2,.892,5.70,0,0,0,0,0
"Bennett, Charlie",CLV,NL,1886,C,13,12,104.0,1,37,10,1,0,0,.979,4.07,11,5,4.06,0,0
"Baldwin, Lady",CLV,NL,1886,P,11,0,84.0,1,4,7,1,0,1,.917,1.18,8,8,0,0,0
"Briody, Fatty",CLV,NL,1886,C,10,9,79.0,2,27,10,0,0,0,.949,4.22,13,7,3.57,1,0
"Morris, Ed",CLV,NL,1886,P,10,0,78.0,1,0,5,0,0,1,.833,.58,10,11,4,0,1
"McGarr, Chippy",CLV,NL,1886,SS,6,6,49.0,7,5,15,3,0,0,.741,3.67,0,0,0,0,0
"Shaw, Dupee",CLV,NL,1886,P,6,0,11.0,0,1,0,0,0,0,1.000,.82,1,0,0,0,0
"Casey, Dan",CLV,NL,1886,P,6,0,10.0,0,0,1,0,0,0,1.000,.90,4,0,0,0,0
"McLaughlin, Tom",CLV,NL,1886,SS,2,0,3.0,0,0,2,0,0,0,1.000,6.00,0,0,0,0,0
"Briody, Fatty",CLV,NL,1886,1B,1,0,2.0,0,4,0,0,0,0,1.000,18.00,0,0,0,0,0
"McLaughlin, Tom",CLV,NL,1886,2B,1,0,2.0,0,0,1,0,0,0,1.000,4.50,0,0,0,0,0
"Macullar, Jimmy",CLV,NL,1886,SS,1,0,2.0,0,0,1,0,0,0,1.000,4.50,0,0,0,0,0
"Macullar, Jimmy",CLV,NL,1886,LF,1,0,2.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Rowe, Jack",CLV,NL,1886,C,1,0,2.0,0,1,0,0,0,0,1.000,4.50,0,0,0,0,0
"Carroll, Cliff",CLV,NL,1886,RF,2,0,2.0,1,0,0,0,0,0,.000,.00,0,0,0,0,0
"Lillie, Jim",CLV,NL,1886,CF,2,0,2.0,0,1,0,0,0,0,1.000,4.50,0,0,0,0,0
"Gilmore, Frank",CLV,NL,1886,P,2,0,2.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Kerins, John",BLN,AA,1886,C,21,21,184.3,5,43,28,0,0,0,.934,3.47,24,23,3.99,4,0
"Welch, Curt",BLN,AA,1886,CF,21,21,184.3,7,59,1,0,6,0,.896,2.93,0,0,0,0,0
"Houck, Sadie",BLN,AA,1886,SS,21,21,177.3,25,31,71,7,0,2,.803,5.18,0,0,0,0,0
"Hanlon, Ned",BLN,AA,1886,LF,21,21,177.3,2,44,1,0,0,0,.957,2.28,0,0,0,0,0
"Johnston, Dick",BLN,AA,1886,RF,20,20,175.3,0,35,0,0,1,0,1.000,1.80,0,0,0,0,0
"Mack, Reddy",BLN,AA,1886,2B,20,20,174.3,12,93,45,13,0,0,.920,7.12,0,0,0,0,0
"Carpenter, Hick",BLN,AA,1886,3B,19,19,158.3,8,14,71,5,0,0,.914,4.83,0,0,0,0,0
"Wise, Sam",BLN,AA,1886,1B,18,18,141.7,0,166,19,10,0,1,1.000,11.75,0,0,0,0,0
"Mullane, Tony",BLN,AA,1886,P,11,0,87.3,0,0,7,0,0,0,1.000,.72,11,11,0,0,1
"Porter, Henry",BLN,AA,1886,P,10,0,66.3,1,4,8,1,0,0,.923,1.63,11,8,0,0,0
