Player,Team,League,SN,T,G,GS,CG,SHO,W,L,SV,SVO,IP,H,R,ER,HR,BB,SO,OAV,OBP,SLG,WHIP,ERA,WAR
"Baldwin, Lady",CLV,NL,1886,L,11,11,6,0,4,7,0,0,84.0,93,50,41,4,19,34,.274,.314,.385,1.33,4.39,0.36
"Morris, Ed",CLV,NL,1886,L,10,10,4,1,5,5,0,0,78.0,85,45,23,2,12,18,.263,.291,.328,1.24,2.65,0.47
"Shaw, Dupee",CLV,NL,1886,L,6,0,0,0,0,0,0,0,11.0,11,6,4,0,4,5,.256,.313,.395,1.36,3.27,0.1
"Casey, Dan",CLV,NL,1886,L,6,0,0,0,0,0,0,0,10.0,10,5,2,0,3,4,.256,.318,.256,1.30,1.80,0.13
"Gilmore, Frank",CLV,NL,1886,R,2,0,0,0,0,0,2,2,2.0,2,0,0,0,1,0,.250,.333,.250,1.50,.00,0.12
"Mullane, Tony",BLN,AA,1886,R,11,11,3,0,4,4,0,0,87.3,98,48,31,1,31,11,.278,.341,.361,1.48,3.19,1.73
"Porter, Henry",BLN,AA,1886,R,10,10,0,0,3,4,0,0,66.3,83,43,29,3,20,16,.307,.355,.426,1.55,3.93,0.71
"McKeon, Larry",BLN,AA,1886,R,14,0,0,0,1,1,0,0,12.7,16,5,4,0,4,2,.302,.351,.358,1.58,2.84,0.43
"Henderson, Hardie",BLN,AA,1886,R,10,0,0,0,2,1,1,1,11.0,10,4,2,0,1,1,.238,.256,.310,1.00,1.64,0.41
"Terry, Adonis",BLN,AA,1886,R,7,0,0,0,0,1,2,5,7.0,15,14,6,0,7,4,.385,.500,.462,3.14,7.71,-0.8
"Hecker, Guy",BSN,NL,1886,R,11,11,2,1,4,5,0,0,82.0,68,31,24,1,18,9,.227,.271,.278,1.05,2.63,1.99
"Stemmeyer, Bill",BSN,NL,1886,R,10,10,0,0,0,6,0,0,57.3,66,52,35,1,30,26,.281,.366,.404,1.67,5.49,-1.4
"Kirby, John",BSN,NL,1886,R,17,0,0,0,1,0,1,1,27.3,25,20,17,2,18,4,.248,.358,.406,1.57,5.60,-0.23
"Keefe, George",BSN,NL,1886,L,6,0,0,0,1,0,0,0,5.7,5,3,1,0,1,0,.250,.304,.300,1.06,1.59,0.06
"Sweeney, Charlie",BSN,NL,1886,R,5,0,0,0,2,0,1,1,4.3,8,3,2,0,3,1,.444,.500,.556,2.54,4.15,-0.02
"Henry, John",BSN,NL,1886,L,3,0,0,0,0,0,0,0,1.7,3,2,2,0,2,2,.375,.500,.375,3.00,10.80,-0.08
"Taylor, Billy",BSN,NL,1886,R,1,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,.250,.250,.250,1.00,.00,0.06
"McGinnis, Jumbo",BRO,AA,1886,R,10,10,2,1,3,5,0,0,66.0,72,40,27,5,24,7,.264,.332,.355,1.45,3.68,0.96
"Mays, Al",BRO,AA,1886,R,10,10,2,0,0,9,0,0,61.7,86,68,48,6,33,16,.320,.397,.420,1.93,7.01,-1.92
"Pechiney, George",BRO,AA,1886,R,15,1,0,0,0,2,0,1,31.7,35,31,21,2,18,3,.271,.358,.395,1.67,5.97,-0.62
"Ely, Bones",BRO,AA,1886,R,7,0,0,0,0,0,0,1,8.0,16,11,11,1,7,0,.432,.523,.595,2.88,12.38,-0.45
"Smith, Phenomenal",BRO,AA,1886,L,6,0,0,0,0,0,0,0,4.7,13,7,6,1,1,0,.520,.538,.720,3.00,11.57,-0.31
"Clarkson, John",CHC,NL,1886,R,10,10,5,2,8,2,0,0,82.7,76,27,17,1,19,35,.244,.286,.298,1.15,1.85,2.4
"Flynn, Jocko",CHC,NL,1886,R,6,6,1,0,4,1,0,0,44.7,35,19,9,1,17,17,.210,.281,.246,1.16,1.81,0.89
"Lynch, Jack",CHC,NL,1886,R,5,5,0,0,3,0,0,0,34.3,34,18,15,1,12,4,.250,.311,.338,1.34,3.93,0.37
"Smith, Bill",CHC,NL,1886,R,12,0,0,0,0,0,0,0,13.7,18,5,5,0,5,5,.321,.371,.429,1.68,3.29,0.35
"White, Will",CHC,NL,1886,R,3,0,0,0,0,0,0,0,1.3,1,2,2,0,2,0,.200,.429,.200,2.25,13.50,-0.11
"Radbourn, Charley",CIN,AA,1886,R,12,11,8,0,5,4,1,1,94.0,88,53,25,3,20,36,.235,.276,.312,1.15,2.39,1.74
"Harkins, John",CIN,AA,1886,R,8,4,2,0,3,0,0,0,41.3,38,22,12,2,13,5,.229,.282,.307,1.23,2.61,0.88
"Boyle, Henry",CIN,AA,1886,R,5,5,2,0,2,2,0,0,35.0,36,21,10,3,11,10,.252,.305,.385,1.34,2.57,0.53
"Wiedman, Stump",CIN,AA,1886,R,8,1,0,0,0,4,1,3,13.0,26,19,15,1,5,2,.388,.432,.522,2.38,10.38,-0.83
"Chamberlain, Elton",CIN,AA,1886,R,5,0,0,0,0,1,0,0,3.0,12,9,7,0,1,0,.500,.520,.833,4.33,21.00,-0.62
"Kilroy, Matt",LOU,AA,1886,L,7,7,3,0,4,0,0,0,54.0,44,21,14,1,19,16,.222,.294,.268,1.17,2.33,1.87
"Welch, Mickey",LOU,AA,1886,R,7,7,2,0,5,1,0,0,51.3,48,31,15,0,18,15,.234,.299,.283,1.29,2.63,0.76
"Cushman, Ed",LOU,AA,1886,L,6,6,0,0,1,2,0,0,38.7,41,19,14,2,17,6,.279,.353,.354,1.50,3.26,0.97
"Healy, John",LOU,AA,1886,R,14,0,0,0,3,2,4,4,22.3,18,6,5,0,6,5,.222,.281,.296,1.07,2.01,1.02
"Conway, Dick",LOU,AA,1886,R,1,0,0,0,0,0,0,0,2.3,3,1,1,0,0,0,.300,.300,.500,1.29,3.86,0.07
"Keefe, Tim",NYG,NL,1886,R,11,11,9,1,3,7,0,0,94.3,93,34,22,3,20,41,.255,.290,.340,1.20,2.10,2.44
"Daily, Ed",NYG,NL,1886,R,7,7,2,0,0,4,0,0,40.3,42,25,15,0,14,12,.256,.309,.287,1.39,3.35,0.08
"Barr, Bob",NYG,NL,1886,R,6,3,0,0,0,3,0,0,24.7,43,29,19,2,6,6,.361,.397,.504,1.99,6.93,-1.21
"Toole, Steve",NYG,NL,1886,L,6,0,0,0,0,1,0,0,9.0,13,12,7,0,8,3,.317,.412,.366,2.33,7.00,-0.57
"Shaffer, John",NYG,NL,1886,R,4,0,0,0,1,0,0,0,6.7,3,2,0,0,1,1,.120,.185,.120,.60,.00,0.21
"Daily, Hugh",NYG,NL,1886,R,4,0,0,0,0,0,0,0,4.0,5,2,1,0,4,2,.357,.474,.571,2.25,2.25,0.05
"Whitney, Jim",PAT,AA,1886,R,8,8,3,0,4,2,0,0,62.3,69,41,21,1,13,14,.276,.309,.352,1.32,3.03,0.61
"McCormick, Jim",PAT,AA,1886,R,8,8,0,0,2,5,0,0,46.0,45,33,13,2,21,16,.249,.328,.376,1.43,2.54,0.2
"Miller, Cyclone",PAT,AA,1886,L,5,5,0,0,3,1,0,0,34.7,34,20,11,1,25,6,.262,.377,.315,1.70,2.86,0.6
"Hart, Bill",PAT,AA,1886,R,13,0,0,0,2,1,4,5,29.3,25,13,9,1,7,3,.223,.281,.313,1.09,2.76,0.87
"Hofford, John",PAT,AA,1886,R,8,0,0,0,1,0,2,2,11.3,14,12,9,0,7,2,.298,.400,.340,1.85,7.15,-0.31
"Mathews, Bobby",PAT,AA,1886,R,2,0,0,0,0,0,0,0,2.7,4,1,1,0,1,1,.333,.357,.500,1.88,3.38,0.1
"Ferguson, Charlie",PHI,NL,1886,R,11,11,0,0,8,2,0,0,83.3,57,16,10,1,18,34,.188,.236,.221,.90,1.08,3.45
"Foutz, Dave",PHI,NL,1886,R,10,10,2,0,7,3,0,0,73.7,88,39,26,2,24,21,.289,.343,.370,1.52,3.18,0.77
"Handiboe, Jim",PHI,NL,1886,R,8,0,0,0,1,0,2,2,12.3,14,7,7,0,2,2,.292,.340,.313,1.30,5.11,0.08
"Atkinson, Al",PHI,NL,1886,R,3,0,0,0,0,0,0,0,2.3,5,4,4,0,0,1,.417,.417,.667,2.14,15.43,-0.23
"Titcomb, Cannonball",PHI,NL,1886,L,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,.000,.000,.000,.00,.0,0.02
"Galvin, Pud",PIT,NL,1886,R,10,10,0,0,3,5,0,0,59.7,87,47,34,0,16,2,.341,.382,.404,1.73,5.13,-0.8
"Conway, Pete",PIT,NL,1886,R,10,10,0,0,3,3,0,0,47.7,51,32,23,2,19,19,.256,.320,.352,1.47,4.34,-0.13
"Madigan, Tony",PIT,NL,1886,R,10,1,0,0,0,1,1,2,16.3,28,16,15,2,6,2,.418,.442,.567,2.08,8.27,-0.51
"Smith, Elmer",PIT,NL,1886,L,10,0,0,0,0,1,1,1,14.7,17,3,1,0,9,2,.298,.394,.351,1.77,.61,0.59
"Murphy, Joe",PIT,NL,1886,R,7,0,0,0,0,2,0,0,13.0,14,11,9,1,9,2,.255,.359,.345,1.77,6.23,-0.24
"O'Day, Hank",PIT,NL,1886,R,9,0,0,0,2,0,3,3,9.0,7,1,1,0,3,6,.206,.289,.235,1.11,1.00,0.44
"King, Silver",PIT,NL,1886,R,8,0,0,0,0,0,1,1,7.0,9,5,0,0,2,5,.281,.314,.281,1.57,.00,-0.05
"Ramsey, Toad",STL,AA,1886,L,10,10,2,0,4,1,0,0,77.0,71,40,28,2,38,15,.234,.321,.310,1.42,3.27,1.74
