FranchiseID,Abbr,FranchiseName,League,City,ColorPrimary,ColorSecondary,StartSeason,EndSeason
BLN,BLN,Baltimore Orioles,AA,Baltimore,#DF4601,#000000,1885,
BRO,BRO,Brooklyn Grays,AA,Brooklyn,#00478A,#EF3E42,1885,
CIN,CIN,Cincinnati Red Stockings,AA,Cincinnati,#C6011F,#000000,1885,
LOU,LOU,Louisville Colonels,AA,Louisville,#002D62,#B31942,1885,
PAT,PAT,Philadelphia Athletics,AA,Philadelphia,#00563F,#FFB81C,1885,
STL,STL,St. Louis Browns,AA,St. Louis,#BA0C2F,#FFFFFF,1885,
BSN,BSN,Boston Beaneaters,NL,Boston,#BD3039,#002244,1885,
CHC,CHC,Chicago White Stockings,NL,Chicago,#0E3386,#CC3433,1885,
CLV,DTN,Detroit Wolverines,NL,Detroit,#0C2340,#FA4616,1885,1885
CLV,CLV,Cleveland Blues,NL,Cleveland,#0C2340,#002D5C,1886,
NYG,NYG,New York Giants,NL,New York,#FF7900,#000000,1885,
PHI,PHI,Philadelphia Quakers,NL,Philadelphia,#B02138,#002D5C,1885,
PIT,PIT,Pittsburgh Alleghenys,NL,Pittsburgh,#FDB827,#000000,1885,
