Player,PhotoURL,PhotoCredit,PhotoCreditURL
"McPhee, Bid",https://cdn.loc.gov/service/pnp/bbc/0400/0410/0411f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686981/
"Ewing, Buck",https://cdn.loc.gov/service/pnp/bbc/0500/0590/0595f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007683776/
"Browning, Pete",https://cdn.loc.gov/service/pnp/bbc/0500/0580/0580f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007683761/
"Radbourn, Charley",https://cdn.loc.gov/service/pnp/bbc/0000/0080/0088f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007685696/
"Latham, Arlie",https://cdn.loc.gov/service/pnp/bbc/0400/0470/0478f_150px.jpg,Library of Congress,https://www.loc.gov/item/2008675144/
"Reilly, John",https://cdn.loc.gov/service/pnp/bbc/0400/0410/0415f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686985/
"Boyle, Henry",https://cdn.loc.gov/service/pnp/bbc/0200/0200/0203f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686536/
"Wiedman, Stump",https://cdn.loc.gov/service/pnp/bbc/0100/0190/0199f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686532/
"Mann, Fred",https://cdn.loc.gov/service/pnp/bbc/0400/0480/0480f_150px.jpg,Library of Congress,https://www.loc.gov/item/2008675146/
"Anson, Cap",https://cdn.loc.gov/service/pnp/bbc/0100/0100/0102f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686400/
"Kelly, King",https://cdn.loc.gov/service/pnp/bbc/0500/0550/0554f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007680738/
"Clarkson, John",https://cdn.loc.gov/service/pnp/bbc/0100/0110/0112f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686410/
"Keefe, Tim",https://cdn.loc.gov/service/pnp/bbc/0200/0260/0267f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686596/
"Ward, John",https://cdn.loc.gov/service/pnp/bbc/0200/0290/0290f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686869/
"Bennett, Charlie",https://cdn.loc.gov/service/pnp/bbc/0000/0010/0016f_150px.jpg,Library of Congress,https://www.loc.gov/pictures/collection/bbc/item/2007680756/
"Hanlon, Ned",https://cdn.loc.gov/service/pnp/bbc/0100/0180/0188f_150px.jpg,Library of Congress,https://www.loc.gov/resource/bbc.0188f/
"Getzien, Charlie",https://cdn.loc.gov/service/pnp/bbc/0500/0550/0552f_150px.jpg,Library of Congress,https://www.loc.gov/resource/cph.3g06990/
"Connor, Roger",https://cdn.loc.gov/service/pnp/bbc/0200/0230/0236f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686565/
"Brouthers, Dan",https://cdn.loc.gov/service/pnp/bbc/0100/0180/0181f_150px.jpg,Library of Congress,https://www.loc.gov/resource/bbc.0181f/
"O'Rourke, Jim",https://cdn.loc.gov/service/pnp/bbc/0200/0270/0276f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686855/
"Burdock, Jack",https://cdn.loc.gov/service/pnp/bbc/0000/0070/0074f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007685742/
"Nash, Billy",https://cdn.loc.gov/service/pnp/bbc/0500/0560/0564f_150px.jpg,Library of Congress,https://www.loc.gov/resource/bbc.0564f/
"Gillespie, Pete",https://cdn.loc.gov/service/pnp/bbc/0200/0260/0261f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686590
"Richardson, Danny",https://cdn.loc.gov/service/pnp/bbc/0500/0570/0574f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007683755/
"Welch, Mickey",https://cdn.loc.gov/service/pnp/bbc/0500/0560/0568f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007683706/
"Galvin, Pud",https://cdn.loc.gov/service/pnp/bbc/0300/0350/0355f_150px.jpg,Library of Congress,https://www.loc.gov/item/2007686934/
"White, Deacon",https://cdn.loc.gov/service/pnp/bbc/0000/0020/0020f_150px.jpg,Library of Congress,https://www.loc.gov/pictures/item/2007680760/
